reviewText,overall,trend
simple cheap easy would seem feeder would perfect bought lowes price amazon week ago couple problem hook top slide around short section wire cage hook maybe inch total mean doesnt sit perfectly level problem bird dont like sitting downwardsloping part use upward sloping part im going try modding hook isnt detachable doesnt slide stay middle level issue bird dont like sitting frontback suet cage think move around lot land every time try there lot wing flapping second give use feeder might get better time update review would say soso suet feeder ive looking nicer expensive one ill give another month update reviewupdate feeder made season dont think id buy even sure ill put next year another feeder space suet side suet get eaten really quickly one cage last long enough start molding several week eat one cage maybe would use didnt better alternative right price ok guess dont think id buy,3,0
happy bird food holderheath manufacturing single hanging suet feeder bought twoi course bout special square bird food alsoim new blastwhat cool way feed bird great addition bird feeder,5,1
suet hanger easy open easy hangit make great addition bird feeder green color blend nature,5,1
feeder fine better worse similar suet feeder ive tried unfortunately le three month chain already rusted reason wouldnt purchase,3,0
bird seem use citrus suet block feeder course winter possibly bird need fat economical bird favorite could want,5,1
purchased blitz lavender cream colored bin petsmart year ago use dry dog food pleased find matching one amazon store subscribe amazon premium dry dog food great bargain convenience yes food tumble bin full bin positioned shown turn door top problem solved dog cannot get container vermin found durable clean like every often bleach alcohol whatever product prefer one main reason like actually pleasant look also open door one hand small dog food last fairly long larger dog would probably opt larger container ordered another amazon read review considered using anything dogfood might consider could help storage needsmy package arrived much disgust contained bergen storage bin doesnt match color ugly messaged seller ordered blitz filled gradyamazon please tell seller allowed,1,0
weve owned whole set dog cat theyve never broken warped discolored year weve stack great pantry feature space lock animal may try help theyve survived beach trip time outdoors one really naughty standard poodle pulling full one floor weve also used one store extra cat litter another wild bird seedtheir bad feature air water tight keep food fresh sure like unopened bag id recommend able use food within month two dog allergy storage mite want either wash bin bag choose bin air tight,5,1
received product ordered dog food bought pound bag ive using filled container flowed dog eats nature recipe adult right back little fyi also door closing little snapped place top put lock since mine full door snapping back openi ordered product looked convenient take food liked container size size reason im thinking keeping im sure right,3,0
one year love wanted order another needed one hold lb title one state size lb howeverthis one tiny way hold lb description say hold lb didnt read stopped title hesitant believe even hold much looking put lb bag food thisno problemthat reason one star product great purpose intended air tight easily opened arm full dish etc,1,0
loved way could stack bin since two dog eat different kind dog food problem month old soft coated wheaten terrier open door good,4,1
keep inside closet easy handle perfect size put closet nice shape,5,1
trouble glucosaminechondroitin supplement work dont sometimes brand worked stop working far cosaminds work hope manufacturer doesnt try increase profit reducing active ingredient far effective glucosaminechondroitin ive triededit work better supplement tried best order cool month dont spend several day degree,5,1
cosamin d joint health supplement far superior supplement nature tried doctor recommended highly couple year really tell difference,5,1
seller excellentthe price goodquailty new sealed bottlewill use seller againthe product good reccomended doctor,5,1
dog veterinarian recommended try product year ago taking ever sincei surgery twice one knee lot pain took many month felt difference eventually noticed knee hurting reliefnow walk mile pain get little selling stiff ice minute put salonpas patch fine minute happy daysif review helped please take moment click helpful button thanks,4,1
took supplement two year really never noticed benefit live active lifestyle gym time primarily taking supplement keep joint healthy like taking preventative maintenance would recommend looking orange triad multivitamin also support joint health,3,0
using supplement year joint somewhat tolerable without joint impossible requirement function daytoday,4,1
bad knee one knee replacement dont want another trying seem mae knee feel btter taking month,4,1
product mgf vet give large dog cost le human form vet recommended great,5,1
one female cat weighs pound year old used everclean year really complaint last year cat poloma started urinate frequently back starting hurt bent clean clumpsi seen littermaid litter box advertised several year always wondered could really true work advertised sorry finally gave purchased along tent topthe tent top came several piece missingbroken called company asked fax part number could forward sent wrong part able get around ask thoughthe machine seems work clump urine clean clump daily rather every day machine try weak pushlift dump instead walk room see red blinking light indicates jami called company explained problem advice could give sure use quality clumping litter would though high price pay litter green would considered quality clumping litter looking fouth quality litter might work single catas usual look good true probably,1,0
bought got kitten work well couple week maybe month without big issuevery noisy mess change container litter get stuck part engine run back forth hoursbetter purrforma,2,0
foster furmomma cat rescue cat slave cat prodcut dream come true saving life year worth every penny pay avoid high retail worth time save yes break doesnt little care obvious common sense work year break time year good cleaning keep track rake ride halfway clean otherwise still best thing never without without spare closet caseone suggestion manufacturer scale back side panel receptacle lid function smaller space rake hit closet without hitting door unit closet two floor two shelf little higher side side broke one lid side pushed back inside closet door raking receptacle someone shut closet dorr partially making flap shorter would greatly reduce actual amount space unit need take functionally,5,1
good stuff cat love litter box im cleaning pace around like child waiting teddy bear come wash one cat bin needed emptied week like every day line bin little trash bag work great need buy expensive receptacle every often ill use special litter scoop come scrape left rake make noise loud recommend leaving closet laundry room guest always ask boiler room making noise noise doesnt bother cat actually come running watch work however litter box theyve ever knownthe catch bought box april problem late october realized box getting full censor stopped working called customer service who prerecorded message make think youve called wrong number start talking tool spoke friendly knowledgeable people gave kind instruction fix like dusting censor resetting box clicking switch time etc thing tried instruction humored finally gave instruction get new box im process mailing wire power rake battery compartment cover receipt get new one im happy destroy box guarantee send new one understand make itthe moral story nothing make cat happier clean littler box broken simply cant keep clean enough opinion im going get replacement use break think im going look toilet training kit,3,0
gave star ive three litter maid year always grateful clean catboxi able forget least couple week time sometimes much one small cat cant beat think catbox almost like one allcompared old fashion litter boxi first saw litter maid la time magazine around full page ad could pay three installment expensive least couple hundred catbox scooping depressed ordered one mine worked right boxits always tricky putting right amount litter put much keep recycling raking take following instruction found would much litter machine would malfunction put lower limit line would finei kind technical problem beginning cant remember pleased tech support took care way back thenafter year stopped working gladly got another one point began using litter pearl cat litter first came yet another technical advance situation litter pearl absorbed urine le stuff getting scooped box able go even longer without reminded litter boxin beginning litter pearl regular little round pearl pet store came lite tracking litter pearl round made irregular shaped rough prevent tracking guess new light tracking style agree litter maid granular jammed mechanism pet store stopped carrying regular nonlite tracking kind litter pearl search alternativethe combination little round litter ball litter maid great thing quality life want go backwards using old fashioned kind litter ready buy regular litter pearl company another state called around necessary ebay able find another brand round ball local store brand litter secret couldnt find product web thoughas long little round ball litter lite tracking kind litter maid performed consistently second one lasted several year never mechanical problem long ago got tent would always use tent litter maid le evidence litter box betterthe litter maid rake clean easily policy paying lot attention litter box eventually second litter maid got messy price come way decided rather clean id get new one motor still working fine problem several year didnt feel like cleaning working lot overtime job felt could afford new one ive third one several year low maintenance mechanical problem cleaned every week im sure often maybe week maybe seems long time deal itrecently stopped working light without warning wouldnt become active sat therei got litter robot replace great review decided would try change since litter robot let return day im still evaluating litter robot thing far like better litter maid one didnt regularly clean litter maid take plastic container big cleaning great think im going clean litter robot oftenthe litter maid plastic container easier switch replace plastic bag litter robot le struggle le time spent bending dreaded area secure feeling stiff plastic thicker plastic bagbeing inside tent litter maid didnt anything directly exposed open air whereas robot sits door open litter sitting contact rest world said litter robot cool ingenious litter maid anyone could dream litter maid would take special kind mind think litter robot watching thing something behold term human engineering happy litter maid three worked reliably flawlessly one many year didnt deal tech support one small catoh almost forgot cat always liked use one side litter maid waste would pile one end plastic container causing fill faster side would distributed evenly fill doesnt close completely thats smell go action change container alway would find half container wasnt used empty one side full never affected mechanical performance litter maid itselfupdate retired recent litter maid started using year ago hard time worked well far motor everything supposed problem litter crystal crystal getting saturated day didnt change litter cat would pee floor cover kept litter maid way frequent deal cat sewage standard urine getting box box thought litter maid leaking couldnt find opening took long time figure cat hyperthyroid condition causing excessively urinate realized two month ago doubled medication problem gone away continued refuse use litter maid think mustve developed odor urine tried wipe far perfectly im sure even though crystal werent saturated peeing floor cover replaced litter maid scoopfree automatic box far working great took litter maid outside cleaned best could diluted simple green spray look ok put big plastic bag keep garage working well real trooperi want say appreciate litter maid served well year year two thrown wore dirty experience worked well never problem motor always impressed way kept raking never giving outthis different people experience want say always used litter pearl crystal litter maid clay clumping litter may havent problem would recommend using crystal litter experience rounded kind tracklesslite tracking kind irregularly shaped trackless kind abrasive jagged litter maid jammed causing rake come painful creaking halt mid cycle rounded one work well arent easy find people tend prefer lite tracking litter crystal always worked great litter maid,5,1
happy long product lasted mine little year old broke day admit bin kind expensive noisy lasted year without user error related issue year used cat onei happy product every intention replacing,5,1
littermaids year year two work awesome cat awesome dump plastic waste holder every day every day worry litter place scooping current unit closet cat worked great last two year plastic lid waste holder get little worn litter fall crack pain try open waste door carefully pull waste holder gently ensure waste holder last replacewhen unit wear move elite bigger going strong two year hopefully keep working hard,5,1
previous littermaid box year old finally quit used cat daily checking review newer littermaid model decided stay lm dont regret litter box size little smaller old box work great cat weigh lb theyre small cat size difference wasnt major problem regret getting model sometimes scrape kitty goo bottom box seeps coagulates old box change clean litter box section wipe baby oil bottom pan add new litter help lift coagulated kitty goo easily,5,1
current version littermaid work well first one purchased lasted five year happy pet store larger version replaced original larger version lasted month diedi found old version amazon worked six day died replaced charge second one worked six week died told possible get money back day since original purchase wad money run box manuallydo buy product system forced give product least one star would give could,1,0
two four cat time home managing litter box something want easy possible littermaid lm automated litter box first automated solution tried im afraid wasnt last numerous problemsfirst tine would get clumped full stuff would get caked solid rather quickly ill note didnt even try litter box home two others wanted see well worked storage container would get jammed open position good job managing stenchhowever could dealt issue could cleaned tine daily pushed lid regularly real problem far seriousfirst understand work system sense motion x minute cat left area tine move across dragging solid clump pushing item receptacle plastic box far end tine return original position wait new visitwhat happened unit would tine would decide always would keep going back forth back forth driving poor kitty distraction way going jump try business set metal tine growling towards themwe tried several time fix really wasnt worth moved option found great one one went trash couldnt even imagine subjecting cat owner large waste moneynot well recommendedill give star assumption unit random motion thing would take one fritz lifetime really demolish cat desire ever use unit,2,0
owned two thesethe first replaced free walmart purchased price complex structure cannot imagine anyone handy man owning one long find poor implementation good design ideathe goodit work keep bin ready next usethe badit work long thing get weak ultimately break thing still get messed cleaning little corner angle dirty job cannot done hose electronics protected way water substitute one go away day two cat using full time need emptied every two day must use good quality clumping litter replacement canister expensive reuse fact cheaper use coventional litter pan throw away whole thing litter instead using refuse container throw away item lid fall need taped placemy unit burned one cat pulled power cord end unit kept getting fuller fuller gone day even though supposed protected running blocked returned found unit almost extended refuse bin stupid wire hang middle box tangled one poor cat trying use unit broke bad designi ordering one rocking style unit returning second unitby way best litter box strong curve corner easy clean keep mind,2,0
im cat lover first order presently himalayan seal pointsthis product dream come truewith little care common sense everything say doesafter year digging scratching around litterboxes joy something brings process st centurysome thoughtsuse premium litter recommend anything else youllbe cleaning rake scraping bottom tray often would necessaryspray bottom tray silicone time timeit make operation much smootherdont overfill cat naturally form mound litter process trying quotburyquot wasteso smooth litter around tray keep evenkeep unit set piece old carpet keep handvac nearby small granule make litter tracking little issueforget tentif like keep box clean cat probably like tent make box impossible get work around inthe disposable tray handy theyre stiff plastic line small garbage bag wash reuse throwing every time expensive propositionkeep supply litter next box store one ofthose plastic stackable bin volume litter reducedjust add needed youll dumping whole tray lot le oftenwith cat clean entire unit every two weeksi use lot le litter spend almost time dealing waste itselfany issue smell easily dealt sprinkling littlebaking soda waste receptcle time timeall fine product make caring yourpets much efficient,5,1
read great review laid money purchase item little year im throw mine outthe rake pain clean especially pet ever diarrhea mine first six month saved pound rake also super sensitive overload go back forth time giving flashing essentially jammed unusable physically scoop problem away clean rake reset sound rake going back forth hour night nice one matter say thing still loudyou really carefully much litter put box cat like boy good size bladder youre troublei purchased tent go didnt keep get nasty read cat dont like go bathroom enclosed space like porta pottiesthe cost plastic container prohibitative least used usually scooped plastic container left cleaned entire box monthif small cat perfect health nice neat tiddy excrement maybe product would work im looking nice large size old fashion litter box,2,0
downstairs neighbor bought one cat zipper eight month ago tortoise shell lotta stay downstairs daytime im gone fell love bought one birthday four month agoive read review unhappy experience several people neighbor shirley trouble unit cleaning isnt difficult help follow printed instructionstaking thing apart one person apparantly isnt necessary waste receptacle shouldnt need replacement often every month unit make noise neither u found excessive particularly annoyingas noted based upon experience littermaid well neighbor shirleys experience u agree sure beat heck scooping litter every day also noticed le litter requiredprobably unit operates minute use urine soak lot litter,5,1
received littermate work called littermate customer service tech support tried reconcile problem could replace send bunch proof purchase stuff rate send new one finicky sometimes work even premium clumping litter work sporadically costly product disappointing,2,0
thought would purchase new littermaid beloved cat sushi suddenly rake stopped working even though power supply seemed working yes problem others mentionned like rake inability deposit clump receptacle jamming give spray coating pam try time unit simply would move nothing littermaid website even came close addressing problem butafter contacting customer service learned seem two sensorsbuttons pushed end rake track pretty small look hard case small piece litter caught button caused malfunction got piece litter box working still cannot give littermaid high rating matter good clumping litter carefully fill still problem unable time effectively get rid used litter,3,0
id like note review wrote change add thing need semi regular cleaning mean cleaning completely new coat scotchguard pan surface fresh litter refilledand may make difference cat aim plastic tine cleaning kinda nasty ive noticed new version metal tine maybe manufacturer cat good aim toosince writing review got cat exceptional aim could jam thing one session cleaning every day finally opted year get plain old deep rectangular litter pan scoopable litter ditch litter maid heck cleaning everyday anyway due artistic new cati three cat indoor imagine ive tried every kind litter come something workable catsive littermate larger size almost year think next best thing sliced bread liked well weve recently gotten regular sized one well since cat giving one workoutprosour dog longer go litterdiving snack mechanism scare content hidden away plastic containerthe cat fascinated working litterbox problem adjusting oldest youngest monthsscoopable litter three cat previously meant time day scooping litterbox one littermate three cat time week tray dumping tray easily reused making economicalthe box dumped cleaned every month comb held place two screw easily removed engine cleaned soak bottom pan comb antibacterial cleaner solution dry use scotchguard boththe house live small place hide litterbox odor effectivelyone cat like dig way china cover stuff worried scratch bottom pan would cause sticking normal generous coating scotchguard keep thing moving along spite battle scar littermaidconsyes litter escape underneath little activity three cat always vaccuming around litter box anyway difference therethe litter flinging problem happened every time afterwards threw garbage bag top tray removed tipped bag biggietipsthose line litterbox arent kidding dont fill box red line motor jamwhen say premium clumping litter mean alternative constantly jammed motorwhenever empty tray pas scraper pan make sure nothing escaped comb along bottom spot build cause jam tooif stuff stick often comb bottom usually mean time dumb entire box clean recoat nonsitck spray nonstick spray used cooking either,4,1
thing number problem none really prevents performing function eventually add real pain one problem plastic box cat manure scooped fit well canister result cat litter seeps gap end vacuum underneath every day difficult make better fitting plastic box area placeda second problem red fill line misleading litter filled point even fairly close machine jam result prevent jamming one need fill device far full capacity turn necessitates filling machine cat litter case ie twice week instead oncea third problem rake many time get jammed due filling litter rake made apart reduce thisin short machine job relatively minor modification easy spot manufacturer machine could much improvedupdateafter le one year machine break need replaced tech support provided company limited use even determining possibly fix problem assuming begin hence one star product,3,0
first seems someone spamming review glowing reviewer never reviewed anything else amazon bad review posted youll see several day worth great review push bad one edit note new amazon verified purchase label beware glowing review people purchased itemlet say biggest pile junk youll ever waste youre money even high quality clumping litter work rake would get clogged receptacle wouldnt close litter stuck place track even though well fill line spent time cleaning piece junk regular litter box le month threw garbagedo waste time money product stick regular litter youll glad,1,0
previously mega worked couple year one total disaster never could get rake work littermaid customer service finally get little help orange onion dont buy anything sucked couldnt care le least littermaid apologized one three call keep mind buy return littermaid need send back battery cover blasted pull wire get help littermaid unscrew every single screw get hand wire dont let go take rest screw battery compartment wasted hour hour good competitor theyre sending thing available latest model people seem hate sighif doesnt work im giving totally littermaid two cat us,1,0
bought largest littermaid ebay jan seller called kittenkaboodle took trial find litter worked well settled scoop away yes reviewer mentioned sometimes stick bottom use scooper scrape clean rake sometimes turn rake everything take second check stuck spot even litter turn make rake add little new litter top cat think nice clean completely work lot le work manual litterbox stay smelling cleaner manual box use larger plastic grocery bag receptacle lot cheaper throwing away receptacle every day alot easier clean believe like trying pry receptacle completely full stick finger inside grab onto yuck heavy hard get sometimes dumping litter stuff place double yuckthe seller ebay selling one bought super charged motor electrical cord worked pretty good almost year apparently unlike normal motor stronger motor kept resetting sometimes would hit clump big would attempt plow right thru sound like good thing wasnt apparently gear andor sprokets move rake along made plastic within year stripped started making spinning sound awhile would eventually go ahead rake one day came home god awful sound found rake stuck right middle box gear spinning making heck racket enough scare away cat litterbox needle say accident cat recovered would go back disconnected box year old cat traumatized refused use set manual box im still working trying get stop going elsewhere thisi took littermaid repair shop knew immediately gear stripped theyd seen said couldnt repair couldnt get partsi contacted ebay seller said still warranty pay shipping seller though cheap nd supercharged littermaid started thing le month seller say one warranty apparently warranty extend replacement sent think ripoff considering expensive thing arewhile st littermaid repaired went ahead bought another regular supercharged littermaid petsmart ive month skipping problem far think supercharged motor caused problem kittenkaboodle refuse acknowledge refused warranty nd box sent meso overall great work could use improvement bottom pan need made something nonstick rake get thru larger wet spot andor gear need made something stronger able take stronger motor get thru stuck clump strip gear also would like see slightly larger receptacle larger model made multi cat household one litterbox fill pretty fast litterboxes bad though would also like see sort hood like auto litterboxes ive seen tent seems like nuisance look like would block onoff switch collect litter box,4,1
saw item advertised year always wondered device could work one year old cat begun urinate often really never problem litter box hurt backi decided bite bullet shell looked like solution frequent pee aching back unfortunately product work would rake premium clumpable litter could get ball pee receptacle getting jammed backing attempting fail return original position error light blinkingi contacted manufacturer email offered feeble suggestion try several litter went purchased three different premium clumpable litter none faired betterps tent better also purchased tent made surround litter box find several piece assembly flimsy broke contacted manufacturer asked email part number quantity needed sent wrong partsbsn,1,0
bought one cat household hated cleaning box also traveled quite bit work liked idea box cleaning gonethe overall idea good cat used adjustment seemed work well track stayed clean butmy male cat insisted peeing corner end motor rake kicked damp litter behind rake mechanism track rake us litter would clog track rake would get stuck litter behind rake unit prevented returning way back cleaning seemed encourage againthey need come way shield rake track litter least clean track clean litterif cat go middle box like supposed good product albeit bit expensive use cat insist peeing moving part mine becomes big smelly paper weight,3,0
many different automated litterboxes market chose one based fact one newer one littermaid recognized brand cat go lot important get litterbox thats minimal maintanence setup really easy one dont read direction simple enough pretty much claim rake clumped litter biggest problem far doesnt clean well id like little piece poop get pas rake handscoop minor problem capacity doesnt allow use lotsa litter since rake get stuck cat pee lot like mine litter get used really quick would refill almost daily also removable receptacle really flimsy kinda hard reuse without breaking force buy refill save little bit time much cleaner smell le conventional litterbox would recommend dont mind spending buck cat seem like find amusing,4,1
ok dont thought discovering arm hammer cat box deodorizeri live without littemaid buy cheap litter ive heard clumping litter bad kitty lick paw cause intestinal blockage keep box garbage bag litter deodorizer closet every rd day dump whole box add new litter deodorizer smell right kitty go shortly thereafter try leary buying litter maid rated since experience seems lot people hate thing,3,0
found litterboxes going pet store cat supply adopted cat back liked idea longer would worry scoop cat waste strong cat waste smell home bought lm found quiet decent motor unfortunately lasted three year bought lm lm longer made even though superior lm quieter first lm bought lasted year half found motor noisy sturdy second lm lasted year bought third lm lasted two day rake stopped dumping receptacle mode wouldnt move anymore unscrew rake could empty receptacle full lovely cat waste dump current amount cat litter return amazon could get replacement replacement one broke also rake upright position unscrew rake get almost full receptacle dump dont bother buying littermaid lm model obviously doesnt last went bought latest version littermaid lme better timer rake doesnt run hour duration still run rake getting stuck various time also push unused litter receptacle go way litter frustrating seem stronger motor,2,0
read review purchasingthis incredibly finicky precise fill level must overfilled stopped working properly first day scooper still scooped thing seldom opened lid receptaclewith shallow litter cat trouble digging coveringthe fact scoop included package informativei gave two star instead one charcoal filter good job odor control another clock house always handy,2,0
frankly taken way long invent year ago anyway godsend thing house use multicat formula litter even though single cat keep thing smelling nicer longer dont really worry mess complaint thing sometimes scoop litter onto floor hey thats broom basement really isnt much factor regarding litter spillage however still keep regular box like one one box another box im tempted get two littermaids dont worry changing boxours get clump rake well boy like urinate use regular cat scooper scrape also refill tremendously expensive previous reviewer reuse fill deodorizer baking soda work great cheap voila ive trouble mine getting full couldnt get empty snap pretty easily even there quite load itthis one best product ive bought long time im happy glad around aunt two thing year give idea wonderful around great product,5,1
two cat bought help keep thing clean tidy well disaster whythere major design flaw litter box solid scoop rakelike feature pick cat waste well lovely waste isnt way still damp watch rakelike feature dug waste stuck scooper time would reverse push unscooped waste mechanisim gross useing premium clumping litter wasnt litter spent time cleaning litter box old fashion kind finally threw thing away month trying deal went bought old fashioned covered box cleaner smell better doesnt constantly jam way littermaid didmaybe one cat small average size even two small cat thing work fine large cat multiple large cat thing disaster,1,0
two littermaid mega lm litter box would buy another one work reasonably well save lot scooping time effort reviewer noted work ok perfect help needed time still big benefit rake need cleaned periodically since clump fully dried minute litter need redistributed away collection box several time week result rake getting filled wet clump cat used almost immediately set still seem enjoy watching operatewe one unit month added second recently work equally well use plastic grocery bag collection box easier using plastic box may wish add timer turn overnight doesnt wake,4,1
purchased total seems year motor finally give however year sweeping litter clean multiple time every dayi three cat always box use primarily bought adopted rescue kitten turned coronavirus cause feline infectious peritonitis fip apparently healthy cat may carry virus shed intermittently bodily fluid feces feces common source oral infectionshe completely healthy standard two catch cold feel stressed etc coronavirus surface much like herpes virus human like herpes virus easily transmitted cat primary method transmit illness feceswith littermaid automatic box potential cat step otherwise put nose others waste almost completely eliminated box never seen one cat go box right cat used go one clean ready useand work long hour hr day feel bit assured knowing box keeping cleanit take bit get used far noise rake take clean like much dont mind maintenance isnt involved would seem actually rather simple clean wet handrag occasional vacuum dustbuster said almost litter boxesanother advantage dont need much litter go much furtheryou need use premium letter use world best litter last long financial bargain,5,1
ive used ten year keep spare hand machine eventually wear although ive never one fail receptacle expensive difficult clean there way keep thing clean receptacle last year purchase box roll quart trash bag try see suit best simply put bag receptacle fold side end put receptacle machine receptacle full take receptacle remove bag content tie top knot contain odor put trash receptacle remains perfectly clean used fall apart method probably saved many hundred dollar year take mess cleaning process,4,1
littermaid great help get accustomed irritating flawsfirst careful overfill tray rake cant complete scan go back forth back forth youd better hope fluffy doesnt urgent delivery make pointsecond machine designed require use proprietary expensive fragile waste receptacle may work around requirement using plain grocery bag line receptacle week use receptacle break anywaythird capacity lacking got second cat found empty machine practically every day waited second day container would overfill sometimes clump side keeping lid open imagine smellfinally youngest cat fragile stomach well let tell raking process designed handle runny poo last drop bucket prompted research web six month ago bought litterrobot litterrobot dot com two cat couldnt satisfiedin summary littermaid great one cat never get run otherwise litterrobot much better choice cost twice much,3,0
household three adult cat constantly cleaning litter box littermaid lm need empty replace waste container twice week litter kept clean smoothed automatic raking action odor minimal since waste stored closed container exposed litter continually cleaned make sure use premium clumping litter thats good newsnow good news unit noisy capital n dont plan placing near living space home value peace quiet waste frequently lodge teeth rake im finding visually checking anytime im near unit using scoop clear rake every day need use scoop scrape along bottom pan loosen anything sticking bottom rake catch next pas lastly included ramp supposed keep cat tracking litter joke simply isnt big enough cat usually jump rather walk solve problem continue leave small area rug front unit seems catch tracked litter unit isnt cheap taking account noise problem would still buy unit primarily conveninence,4,1
second littermaid first worked great cat died sold ebay however always worked well use correct litter littermaid work advertised never problem motor failing issue ive read review also read motor jam reset many user may know may reason many return year used motor never stopped working box bit noisy wouldnt suggest setting bedroom also chance rake moving noise may scare cat want use try setting power day turn cat get use using box issue raking motion push waste forward also push good litter end result good litter get dumped plastic bin option buying newer unit read many bad review decided go one older model also build table hole cut bottom plastic container catch waste unit dump waste gallon trash bag go quite without emptying stock container go day one cat wasnt setting table larger bag would look closely smart scoop seems waste le litter,4,1
purchased littermaid year ago still going strong littermaids different model cat could possible keep cleaning litter sure help lot bought permanent chute litterworks husband used old entertainment center got next nothing goodwill fit littermaids comfortably look littermaid disposal system amazon see sort look like love lm would agree lme elite ionic air cleaner work well give littermaid bad name find basic one think work better ionic air cleaner one empty litter couple time week go chute trash bag take trash bag smell also add little baking soda trash bag clean littermaid occasionally like litterbox much use world best litter corn litter make littermaid work easier cut dust litter shame elite sullied littermaid product name hope improve would like buy backup case one mine go figure yr due wont buy another elite ionic read moronic air cleaner,5,1
gone year never purchase littermaid model died monday year problem rake running continuously finally cut cord finally snapped monday short lifespan considering price found spending nearly much time cleaning box regular old litter pan matter litter brand tried adhered like mud bottom pan would stick rake eventually cause machine cut offjust purchased omega paw good review eagerly awaiting arrival today littermaid get tossedgood idea poor longterm performance,1,0
model great last night rd littermaid last two didnt last long one le year old stop unknown reason multiple cat household much convenient scooping day long definitely much better odor however price die young go panic bought cheaper version though still expensive elite one could find think going regret ill see hate keep spending money like predict wont last long anyway machine probably fixed ex littermaid repair person told unless sent manual cant find doesnt pay keep sending back course didnt break warranty ended,3,0
four great help cat little finicky litterboxes stop using theyre perfectly clean since work day cat count selfcleaning litter box keep box cat high standardsmy complaint littermaids quality control little inconsistent year ive defective unit right box little often id like dont think unique littermaid ive seen similar qc problem anything made china littermaid choice really reconsider theyre business point choice product either made china elsewhere choose product made china ive burned many time shoddy workmanship even supposedly name brand product,5,1
